"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error","United States!!Male!!Estimate","United States!!Male!!Margin of Error","United States!!Percent Male!!Estimate","United States!!Percent Male!!Margin of Error","United States!!Female!!Estimate","United States!!Female!!Margin of Error","United States!!Percent Female!!Estimate","United States!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 18 to 24 years","31,254,823","±43,699","(X)","(X)","16,000,644","±24,967","(X)","(X)","15,254,179","±25,427","(X)","(X)"
"        Less than high school graduate","3,636,420","±40,866","11.6%","±0.1","2,117,299","±26,850","13.2%","±0.2","1,519,121","±26,758","10.0%","±0.2"
"        High school graduate (includes equivalency)","11,051,703","±61,246","35.4%","±0.2","6,214,010","±41,852","38.8%","±0.3","4,837,693","±41,340","31.7%","±0.3"
"        Some college or associate's degree","12,373,694","±66,464","39.6%","±0.2","5,909,786","±45,622","36.9%","±0.3","6,463,908","±45,972","42.4%","±0.3"
"        Bachelor's degree or higher","4,193,006","±43,439","13.4%","±0.1","1,759,549","±26,098","11.0%","±0.2","2,433,457","±30,187","16.0%","±0.2"
"    Population 25 years and over","229,707,137","±68,736","(X)","(X)","112,173,893","±42,243","(X)","(X)","117,533,244","±39,685","(X)","(X)"
"        Less than 9th grade","10,694,112","±77,219","4.7%","±0.1","5,416,707","±49,658","4.8%","±0.1","5,277,405","±41,567","4.5%","±0.1"
"        9th to 12th grade, no diploma","13,130,952","±84,789","5.7%","±0.1","7,055,879","±52,686","6.3%","±0.1","6,075,073","±50,642","5.2%","±0.1"
"        High school graduate (includes equivalency)","59,908,662","±177,763","26.1%","±0.1","30,836,342","±99,136","27.5%","±0.1","29,072,320","±108,131","24.7%","±0.1"
"        Some college, no degree","43,842,184","±112,622","19.1%","±0.1","21,302,039","±90,542","19.0%","±0.1","22,540,145","±72,427","19.2%","±0.1"
"        Associate's degree","20,222,893","±87,226","8.8%","±0.1","8,883,399","±51,274","7.9%","±0.1","11,339,494","±65,672","9.6%","±0.1"
"        Bachelor's degree","49,641,033","±165,637","21.6%","±0.1","23,649,774","±91,726","21.1%","±0.1","25,991,259","±99,135","22.1%","±0.1"
"        Graduate or professional degree","32,267,301","±153,749","14.0%","±0.1","15,029,753","±80,267","13.4%","±0.1","17,237,548","±91,729","14.7%","±0.1"
"        High school graduate or higher","205,882,073","±179,666","89.6%","±0.1","99,701,307","±100,879","88.9%","±0.1","106,180,766","±93,390","90.3%","±0.1"
"        Bachelor's degree or higher","81,908,334","±275,926","35.7%","±0.1","38,679,527","±142,103","34.5%","±0.1","43,228,807","±156,343","36.8%","±0.1"
